"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"-M-",31.5714285714286,227024.428571429,0.565285714285714,0.592428571428571,8,-9.82557142857143,0.428571428571429,0.0895428571428571,0.406628571428571,0.0170571,0.371,0.428857142857143,103.078142857143,3.85714285714286
":Wumpscut:",20,281493,0.533,0.778,1,-7.344,1,0.0321,0.0125,0.683,0.649,0.286,100.002,3
"!nvite",23,137367.5,0.8205,0.519,6.5,-10.173,0.5,0.27,0.499,0.01136,0.1285,0.415,84.997,4
"? & The Mysterians",40,176866,0.65,0.562,7,-5.965,1,0.0345,0.0623,3.08e-05,0.076,0.88,123.674,4
"¿Téo?",61,203777,0.715,0.584,0,-9.004,1,0.136,0.291,0.00366,0.068,0.429,97.214,4
"'Falsettos' 2016 Broadway Company",30,308133,0.384,0.309,4,-8.716,1,0.0401,0.817,0,0.108,0.323,81.587,4
"'Til Tuesday",28,261266,0.611,0.645,0,-7.394,1,0.0264,0.00339,4.45e-06,0.0793,0.411,106.639,4
"""Puppy Dog Pals"" Cast",57.5,47966.5,0.705,0.856,5,-4.274,0.5,0.1245,0.096,0.000705,0.1475,0.915,138.0425,3.5
"""Weird Al"" Yankovic",26.3333333333333,246778.333333333,0.6574,0.575,5.93333333333333,-10.2011333333333,0.8,0.10714,0.250997333333333,8.002e-06,0.19336,0.736,117.368,4
"(DOLCH)",22,432133,0.41,0.618,11,-8.491,1,0.0439,0.0042,0.000592,0.327,0.267,100.035,4
"(G)I-DLE",72,189190.666666667,0.644333333333333,0.833333333333333,3.66666666666667,-3.055,0,0.0679666666666667,0.0304933333333333,2.41e-06,0.1208,0.453333333333333,109.676333333333,4
"(Hed) P.E.",24.4117647058824,222003.647058824,0.612823529411765,0.863764705882353,3.76470588235294,-5.63335294117647,0.764705882352941,0.163129411764706,0.0154999176470588,0.0164046411764706,0.327041176470588,0.515647058823529,121.191823529412,4
"(Hed) P.E.;Lajon Witherspoon;Sevendust",26,240266,0.371,0.96,7,-4.578,1,0.123,0.000397,0.00101,0.103,0.606,175.154,4
"(Hed) P.E.;Serj Tankian;Morgan Lander",23,254026,0.678,0.69,4,-7.615,1,0.19,0.00333,0.00078,0.0453,0.754,90.869,4
"[:SITD:];Dennis Schober",22,447386,0.508,0.891,5,-6.443,1,0.036,0.168,0.0669,0.13,0.285,105.014,4
"[Alexandros]",21,251065.230769231,0.507384615384615,0.940384615384615,6.76923076923077,-3.40253846153846,0.615384615384615,0.0780692307692308,0.00118938461538462,0.00784166769230769,0.142623076923077,0.500846153846154,118.325,4
"[bsd.u]",58.5,104320,0.798,0.255,6,-11.948,0,0.1625,0.2688,0.8625,0.238,0.8615,78.532,4
"『ユイカ』",41.6666666666667,272323,0.641333333333333,0.571333333333333,3.66666666666667,-6.36833333333333,1,0.0293,0.175433333333333,3.78e-06,0.238033333333333,0.747,146.346666666667,4
"『ユイカ』;れん",56,298663,0.603,0.481,0,-6.689,1,0.0345,0.173,0,0.329,0.698,164.999,4
"&ME;Rampa;Adam Port;Sofie Royer",50,385103,0.772,0.485,11,-14.388,0,0.0611,0.000391,0.847,0.0913,0.156,120,4
"#Kids;Nursery Rhymes;Nursery Rhymes and Kids Songs",34,104000,0.58,0.494,7,-13.402,0,0.0453,0.0488,0.787,0.114,0.908,149.908,4
"´Goule",35.5,103318,0.652,0.302,6.5,-12.6135,1,0.1191,0.7565,0.897,0.4325,0.26,121.4655,4
"=LOVE",31.3958333333333,253851.895833333,0.527875,0.90425,6.04166666666667,-3.4675625,0.8125,0.0701520833333333,0.1096568375,0.0718885102083334,0.202458333333333,0.624416666666667,144.636708333333,4
"≠ME",31,248866.826086957,0.52695652173913,0.911565217391304,6.30434782608696,-3.03947826086957,0.782608695652174,0.0645130434782609,0.123316275217391,0.0807353669565217,0.234752173913043,0.611826086956522,137.493347826087,3.91304347826087
"✦ pink cig ✦;Emo Fruits",58,190868,0.609,0.389,3,-8.834,0,0.0352,0.226,0,0.108,0.124,118.047,4
"$affie",39,134506,0.744,0.178,0,-13.225,1,0.0996,0.808,0.89,0.096,0.23,148.26,4
"$affie;lofi stu",43,128785,0.821,0.252,11,-8.882,0,0.0447,0.876,0.868,0.109,0.283,74.997,4
"04 Limited Sazabys",32,113573,0.42,0.994,8,-2.576,1,0.217,0.000807,0.151,0.224,0.0582,112.643,4
"1 Trait Danger",21,204000,0.693,0.679,9,-5.452,1,0.43,0.0727,0,0.176,0.693,159.9,4
"10 Years",43.5,216786.5,0.43225,0.81425,4.25,-4.3685,0.25,0.05285,0.0063535,8.83925e-05,0.220875,0.32025,155.63625,4
"10-FEET",33.3333333333333,138226.333333333,0.503666666666667,0.981,6.66666666666667,-1.75933333333333,1,0.0924333333333333,0.0460536666666667,1.82666666666667e-06,0.164666666666667,0.643666666666667,118.788666666667,4
"10-FEET;Yabai T-Shirts Yasan",33,192760,0.355,0.993,0,-1.176,1,0.141,0.00114,0.00113,0.406,0.32,195.026,4
"100 Blaze",0,156653,0.771,0.456,10,-11.036,0,0.439,0.122,0,0.136,0.607,148.062,4
"100 Blaze;Lacrim",0,235538,0.779,0.91,1,-3.717,1,0.346,0.183,0,0.111,0.491,139.976,4
"1019;Lucio101;Omar101;Nizi19;Karamel19",38,126757,0.723,0.497,1,-8.655,1,0.335,0.054,3.81e-06,0.297,0.415,125.985,4
"102 Boyz;Chapo102;Stacks102;Skoob102",39,190133,0.733,0.616,6,-6.607,0,0.278,0.0305,0,0.107,0.364,79.979,4
"102 Boyz;The Cratez;Chapo102;Skoob102;Stacks102",37,159811,0.819,0.669,1,-6.85,1,0.148,0.0265,3.82e-06,0.0673,0.648,75.027,4
"10cc",14,292379,0.5453,0.5411,1.5,-9.4177,0.9,0.07363,0.27784,0.0014068,0.2372,0.6276,138.3265,3.6
"10cm",61,237266,0.359,0.469,7,-8.06,1,0.0326,0.745,0,0.101,0.259,84.366,4
"110",41,248667,0.587,0.622,4,-6.907,0,0.0263,0.00566,0.196,0.317,0.366,85.986,4
"12 Stones",54.8888888888889,206337.222222222,0.329555555555556,0.866444444444444,6,-4.24255555555556,0.444444444444444,0.0742666666666667,0.105897222222222,3.23111111111111e-05,0.306777777777778,0.400333333333333,134.523,3.44444444444444
"1200 Micrograms",35.6666666666667,451769.666666667,0.583666666666667,0.934666666666667,6.33333333333333,-6.732,0.666666666666667,0.0555333333333333,0.00135733333333333,0.677,0.416,0.285666666666667,145.342666666667,4
"1280 Almas",37,277280,0.588,0.72,4,-9.752,0,0.0307,0.00712,0.000322,0.113,0.78,109.941,4
"12AM",47,162858,0.586,0.783,1,-4.901,0,0.038,0.151,5.98e-05,0.458,0.182,83.996,4
"12th Planet",45,135200,0.515,0.974,1,-2.461,1,0.506,0.000533,0.0169,0.121,0.0558,75.032,4
"12th Planet;Bandlez;Barely Alive;Chibs;Dirtyphonics;Disciple;Dodge & Fuski;Eliminate;Fox Stevenson;Infekt;Modestep;MVRDA;Myro;Oliverse;PhaseOne;SampliFire;Terravita;Virus Syndicate;Virtual Riot",47,298400,0.592,0.937,11,-5.453,0,0.158,0.00418,7.58e-06,0.406,0.339,150.096,4
"12th Planet;Katie Sky",41,172800,0.533,0.938,4,-2.762,0,0.0535,0.0274,0.00472,0.191,0.118,149.998,4
"13",19,204166,0.726,0.778,2,-3.683,1,0.0633,0.000259,0.86,0.359,0.139,89.997,4
"13 Block",32,170924,0.716,0.495,6,-8.997,0,0.188,0.579,0.000112,0.109,0.407,145.04,4
"1349",18,477754.2,0.19056,0.9624,5.2,-7.6678,0.4,0.13712,2.406e-05,0.7096,0.2744,0.11272,142.936,4
"13th Floor Elevators",54,146737,0.428,0.923,2,-4.454,0,0.123,0.0108,0.436,0.0985,0.681,151.005,4
"163",38,192000,0.726,0.498,7,-9.308,0,0.0478,0.00203,0.000658,0.0967,0.665,104.954,4
"16BL",46,387000,0.729,0.4905,5.5,-10.437,0,0.0399,0.09725,0.732,0.4525,0.41245,120.857,4
"175R",37.25,224380,0.52975,0.91925,6,-3.28375,1,0.094,3.06e-05,1.64e-06,0.122625,0.4275,128.203,3.75
"1782",19,354038,0.368,0.294,8,-13.571,1,0.0344,0.0667,0.845,0.0826,0.147,109.999,4
"1788-L;TYNAN",35,212893,0.393,0.938,9,-5.819,1,0.137,0.00467,0.717,0.398,0.102,177.055,4
"19",36.5,247631.333333333,0.512166666666667,0.735166666666667,1.5,-6.2565,1,0.0356833333333333,0.115427266666667,0.0360282416666667,0.298666666666667,0.605,99.5908333333333,4
"1986zig",0,136120,0.643,0.667,11,-5.028,1,0.268,0.468,0,0.165,0.518,175.813,4
"1986zig;AYLIVA",0,123280,0.666,0.718,8,-3.978,1,0.0443,0.0118,3.45e-06,0.397,0.457,173.993,4
"1988;Kukon",35,202533,0.639,0.376,2,-12.91,1,0.141,0.13,0.0143,0.132,0.119,139.914,4
"1991",43.25,208018.75,0.50525,0.901,3.75,-3.1895,0.5,0.037375,0.010959,0.412476,0.138,0.29395,173.95575,4
"1995",33,264626,0.627,0.7,10,-3.997,0,0.27,0.382,0,0.141,0.832,87.805,4
"1PLIKÉ140",0,191620,0.768,0.72,1,-6.1285,1,0.2175,0.3725,5.18e-06,0.11315,0.736,149.004,4
"2 Best Enemies",22,378949,0.743,0.682,8,-5.925,1,0.142,0.0054,0.868,0.0423,0.0667,148.001,4
"2 Blyga Läppar",40.2857142857143,203946.142857143,0.637285714285714,0.8,4.71428571428571,-4.95871428571429,0.714285714285714,0.0426714285714286,0.07711,7.95714285714286e-07,0.242028571428571,0.786857142857143,125.001,4
"2 Blyga Läppar;Drängarna",44,198718,0.599,0.754,0,-4.599,1,0.0357,0.0273,0,0.347,0.563,140.032,4
"2 Brothers On The 4th Floor",24.0909090909091,248115.409090909,0.632590909090909,0.885590909090909,3.72727272727273,-6.55445454545455,0.363636363636364,0.0529,0.0358509090909091,0.210480239545455,0.237595454545455,0.628954545454545,139.275,4
"2 Brothers On The 4th Floor;Ran-D",54,262550,0.535,0.928,5,-2.025,0,0.0823,0.0068,9.18e-06,0.109,0.116,154.872,4
"2 minutos",37.7857142857143,175233.357142857,0.4625,0.962285714285714,5.64285714285714,-3.98185714285714,0.928571428571429,0.0708,0.00087315,0.0187395464285714,0.290742857142857,0.559928571428571,107.904857142857,4
"2002",22.1666666666667,327293.166666667,0.207833333333333,0.280666666666667,4.16666666666667,-15.2275,0.833333333333333,0.0339833333333333,0.742266666666667,0.892,0.10235,0.101633333333333,100.2615,3.5
"22 Void Beats;Sneaky Ollie;Milano The Don",38,118583,0.469,0.95,9,-6.459,1,0.443,0.0264,0.00453,0.19,0.312,149.883,4
"22 Void Beats;Sneaky Ollie;Peter Piffen",36,165708,0.646,0.893,9,-5.188,1,0.0689,0.0497,0.000798,0.33,0.764,145.06,4
"220 KID;LANY",68,166924,0.715,0.778,6,-6.546,0,0.0365,0.0152,0,0.121,0.756,123.954,4
"22Gz",11.6666666666667,158085.166666667,0.867833333333333,0.584833333333333,6,-5.8005,1,0.511666666666667,0.1751,0,0.11625,0.500666666666667,142.957666666667,4
"22Gz;Kodak Black",0.111111111111111,193970,0.869,0.802,9,-3.37,0,0.504,0.0978,0,0.0998,0.346,140.89,4
"23Till",35,201933,0.524,0.919,9,-6.021,1,0.0742,0.00438,0,0.248,0.826,93.831,4
"24kGoldn;iann dior",83,140533,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,4
"24SJU",23,100500,0.795,0.678,11,-7.977,0,0.228,0.316,5.65e-06,0.0619,0.898,80.037,4
"250 kg kärlek;Erik Meduza",44,143814,0.542,0.788,11,-6.4,1,0.387,0.121,0,0.346,0.345,104.026,3
"250 kg kärlek;F.E.S.T;Sofie Svensson",43,165952,0.84,0.849,10,-6.626,1,0.0972,0.0246,0,0.104,0.704,126.002,4
"25th Annual Putnam County Spelling Bee Original Cast",29.3571428571429,145511.142857143,0.526428571428571,0.325085714285714,3.28571428571429,-8.6275,0.785714285714286,0.105864285714286,0.806071428571429,0.000659946428571429,0.209735714285714,0.523857142857143,133.010428571429,3.85714285714286
"2Baba",44,264360,0.579,0.777,11,-3.328,1,0.0889,0.385,2.9e-06,0.191,0.838,77.893,4
"2gaudy",51,160038,0.864,0.471,10,-10.05,0,0.336,0.135,0,0.0986,0.628,95.95,4
"2nd Grade",21,147200,0.455,0.9065,3.5,-6.5465,1,0.046,0.001935,7.512e-05,0.2845,0.6735,125.79,4
"2Pac",70.875,275956.375,0.788,0.717125,4.75,-5.30275,0.625,0.2190875,0.12909875,0.00071107625,0.208675,0.620875,99.2975,4
"2Pac;Big Syke",77,307773,0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,4
"2Pac;Outlawz",81,312626,0.916,0.844,7,-3.967,1,0.236,0.0394,0,0.0778,0.586,95.19,4
"2Pac;Rappin' 4-Tay",68,296906,0.802,0.787,11,-6.009,0,0.206,0.00127,0.000181,0.0763,0.806,90.189,4
"2Pac;Roger;Dr. Dre",79,284906,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,4
"2Pac;Snoop Dogg",69,246533,0.849,0.904,8,-4.78,1,0.138,0.0248,5.11e-05,0.0545,0.854,99.258,4
"2Pac;Talent",73,268826,0.865,0.665,7,-6.289,1,0.073,0.0453,0,0.224,0.331,111.113,4
"2R",23,229013,0.606,0.307,9,-9.585,1,0.0294,0.733,0,0.0985,0.666,92.094,4
"2T;Chris Beats Zn;Tz da Coronel;SoudCrime",49,163000,0.583,0.635,4,-6.033,0,0.0393,0.0327,0,0.422,0.236,119.942,5
"3 Doors Down",34.5,238534.857142857,0.558619047619048,0.714595238095238,7.83333333333333,-6.49385714285714,0.30952380952381,0.0297952380952381,0.0603416666666667,0.00026299380952381,0.160033333333333,0.372214285714286,122.032523809524,3.97619047619048
"3 Doors Down;Bob Seger",47,271373,0.475,0.493,4,-6.848,0,0.0267,0.51,4.06e-06,0.116,0.142,147.425,4
"3 Doors Down;Jack Joseph Puig",54.5,239346.5,0.4735,0.7665,5.5,-4.759,0,0.03285,0.013125,0,0.1215,0.3245,118.0245,4
"3 Hürel",27.5,266139.5,0.63,0.438,8.5,-12.943,0,0.04175,0.1761,0.2244,0.08825,0.678,129.8565,4
"3 Pill Morning",28,234040,0.407,0.967,5,-4.559,1,0.114,0.000303,0.000632,0.0817,0.436,170.074,4
"3 Steps Ahead",19.8571428571429,312018.857142857,0.493,0.891,6.14285714285714,-6.19542857142857,0.857142857142857,0.0692571428571429,0.00487755714285714,0.206885714285714,0.399871428571429,0.3076,136.933857142857,4
"3 Steps Ahead;Catscan;Xess",19,384870,0.612,0.814,7,-4.695,1,0.089,0.00112,0.853,0.104,0.228,144.803,4
"3 Steps Ahead;Tails;Noizer;Drokz",23,256733,0.477,0.98,11,-4.986,0,0.206,0.00043,0.0785,0.404,0.268,190.251,4
"3030",45.8571428571429,215609.714285714,0.735571428571429,0.508714285714286,6.57142857142857,-9.303,0,0.108757142857143,0.594428571428571,0.000417755714285714,0.235428571428571,0.534,101.538285714286,4
"3030;Lauana Prado",48,180000,0.774,0.652,5,-6.413,0,0.0336,0.518,7.87e-05,0.0839,0.862,145.01,4
"3030;Rael",47,201200,0.9,0.522,11,-5.619,0,0.0371,0.313,4.37e-06,0.107,0.784,110.011,4
"31 Minutos",40.2083333333333,138287.958333333,0.653166666666667,0.784416666666667,6.41666666666667,-5.52845833333333,0.625,0.113233333333333,0.361275,0.0634589845833333,0.207545833333333,0.697916666666667,122.285916666667,3.95833333333333
"31 Minutos;C-Lurio & Area 31",36,170019,0.773,0.831,6,-6.304,1,0.154,0.13,0.000649,0.102,0.904,99.88,4
"31 Minutos;Corchetis",36,223364,0.674,0.861,2,-5.139,1,0.0533,0.0863,0,0.131,0.727,127.897,4
"31 Minutos;John Quijada",36,116958,0.637,0.916,2,-5.644,1,0.0458,0.736,0,0.977,0.563,112.845,4
"31 Minutos;Johnny Choapino",36,181920,0.671,0.906,9,-4.919,1,0.0473,0.539,5.67e-05,0.24,0.856,125.105,4
"31 Minutos;Juantástico",32,117477,0.636,0.983,7,-4.595,1,0.113,0.423,0,0.956,0.559,114.125,4
"31 Minutos;Las Minilolas",35,186266,0.685,0.944,7,-5.18,1,0.0917,0.154,0,0.658,0.822,104.015,4
"31 Minutos;Pe & Pa",38.5,163088,0.638,0.826,0,-3.967,1,0.029,0.102,0,0.182,0.671,136.939,4
"31 Minutos;Pepelota",38,191905,0.606,0.851,1,-4.396,0,0.0771,0.719,0,0.586,0.421,116.34,4
"311",38,254106,0.61,0.861,7,-8.568,1,0.105,0.00451,0,0.205,0.8,153.547,4
"32 Leaves",53,257866,0.411,0.691,1,-7.894,0,0.0321,1.55e-05,0.0522,0.0987,0.189,142.987,4
"347aidan",61.2222222222222,157979,0.791222222222222,0.482666666666667,7.44444444444444,-8.83355555555556,0.333333333333333,0.134566666666667,0.569788888888889,0.00484387444444444,0.265,0.489777777777778,118.741111111111,4
"347aidan;Kenny Beats",61,123428,0.852,0.307,9,-10.275,1,0.298,0.403,0,0.236,0.727,140.08,4
"36 Crazyfists",19.6,213390.6,0.4682,0.8891,2.9,-5.0451,1,0.07285,0.0076961,0.003772079,0.2243,0.5812,150.4339,3.9
"38 Special",1.5,278943.5,0.463,0.747,5,-5.316,0.5,0.03305,0.0149,0.0003338,0.0636,0.86,128.9575,4
"3FORCE",23.3333333333333,284033,0.4325,0.771666666666667,4.16666666666667,-5.70833333333333,0.166666666666667,0.0381166666666667,0.0311023333333333,0.787,0.119466666666667,0.06415,135.368333333333,3.83333333333333
"3FORCE;Scandroid",38,270400,0.401,0.898,5,-3.961,0,0.067,0.000323,0.0451,0.103,0.178,149.968,4
"3LAU;Bright Lights",24,210468,0.504,0.79,1,-3.6475,1,0.0827,0.1815,0,0.34,0.2865,127.963,4
"3LAU;Justin Caruso;Iselin",59,192941,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,4
"3LAU;Ninja",52,156631,0.534,0.957,1,-4.025,1,0.0455,8.05e-05,0.758,0.266,0.52,95.046,4
"3OH!3",63,197601,0.642,0.861,4,-3.837,1,0.294,0.0318,0,0.23,0.582,92.912,4
"3OH!3;Katy Perry;Matt Squire",65,202666,0.607,0.805,11,-5.579,0,0.0608,0.00175,0,0.231,0.232,139.894,4
"3TEETH",45,208125,0.517,0.99,11,-5.022,0,0.11,2.95e-05,0.411,0.326,0.318,127.984,4
"3x7 Veintiuna",42,146173,0.545,0.623,9,-8.154,0,0.0403,0.377,0,0.0865,0.74,122.648,3
"4 Tune Fairytales",21.3333333333333,247180,0.500333333333333,0.953,1.66666666666667,-5.80366666666667,1,0.0420333333333333,0.109166666666667,0.45,0.184333333333333,0.485666666666667,178.052,4
"4*TOWN (From Disney and Pixar’s Turning Red);Jordan Fisher;Finneas O'Connell;Topher Ngo;Grayson Villanueva;Josh Levi",60,199906,0.622,0.364,0,-10.547,0,0.0328,0.178,5.84e-06,0.122,0.221,120.075,4
"40 Below Summer",25,267613,0.341,0.893,11,-4.896,1,0.102,0.00136,1.72e-05,0.0671,0.463,103.782,4
"44phantom",50.7333333333333,169848.733333333,0.623866666666667,0.6656,5.4,-5.52453333333333,0.666666666666667,0.0562933333333333,0.13405,0.0007156,0.128433333333333,0.5448,129.1554,4
"44phantom;Machine Gun Kelly",69,149160,0.667,0.716,7,-4.463,1,0.0564,0.238,0,0.255,0.412,144.943,4
"450",31,170997,0.609,0.454,0,-8.016,0,0.186,0.119,0,0.111,0.352,130.104,5
"450;Weekday",29,179879,0.631,0.757,1,-5.989,0,0.422,0.532,0,0.0916,0.54,137.785,4
"48th St. Collective",0,171039,0.64,0.395,2,-11.977,1,0.0264,0.79,0.12,0.0946,0.439,108.062,4
"4ever Falling",47,160661,0.795,0.419,0,-9.294,0,0.0327,0.891,0.000722,0.111,0.494,121.049,4
"4ever Falling;Auram",47,260500,0.71,0.256,8,-13.311,0,0.047,0.638,0.00528,0.0886,0.148,120.018,4
"4hero",17.8,323967.6,0.626,0.6368,6.6,-10.8812,0.4,0.05196,0.0857404,0.13948,0.21748,0.5532,139.5012,4
"4hero;Carina Andersson",54,365746,0.359,0.676,10,-5.451,0,0.0373,0.0103,0.0772,0.0994,0.417,75.775,4
"4hero;Jill Scott",27,297573,0.631,0.528,10,-10.044,0,0.0923,0.283,2.93e-05,0.205,0.539,150.448,4
"4hero;Lady Alma",19,311360,0.802,0.664,7,-8.43,1,0.0728,0.0213,9.11e-05,0.072,0.679,120.091,4
"4i20;Claudinho Brasil;Mandragora;Devochka",44,339375,0.582,0.46,11,-7.086,0,0.0802,0.019,0.395,0.387,0.0829,127.995,4
"4Keus Gang",32,221300,0.609,0.677,3,-7.774,0,0.216,0.582,0,0.0949,0.697,129.889,4
"4to28",47.5,158917.5,0.668,0.546,2.5,-14.0535,0.5,0.04765,0.15205,0.8535,0.2353,0.7505,141.2565,3.5
"4yye;B.Baby",35,161333,0.877,0.452,7,-11.518,0,0.207,0.178,0,0.11,0.191,120.023,5
"5 a Seco",46,180946,0.391,0.286,6,-10.177,0,0.0572,0.733,0,0.0948,0.486,58.478,4
"5 a Seco;Pedro Altério;Tó Brandileone",48,199906,0.616,0.436,9,-11.003,1,0.0288,0.246,1.28e-05,0.107,0.264,122.892,4
"5 Adım",37,212750,0.476,0.469,11,-11.371,0,0.0504,0.887,2.6e-06,0.242,0.525,110.884,4
"5 Seconds of Summer",80,204152,0.676,0.651,5,-4.0535,0,0.2517,0.03385,1.935e-06,0.117,0.2915,129.6525,4
"50 Cent",83,193466,0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
"509-E;Dexter;Afro-X",46.6,482634,0.6526,0.573,1.6,-6.5598,1,0.2808,0.3018,0.000658,0.198,0.7706,92.185,4
"50landing",46,284101,0.465,0.289,0,-12.235,1,0.0563,0.69,0.000213,0.187,0.16,83.299,4
"53 Thieves",54,195642,0.7095,0.423,4,-9.318,0,0.24085,0.4765,0.12714,0.10345,0.284,81.9545,4
"6 Dogs",56,96233,0.764,0.342,6,-10.641,0,0.0633,0.886,0.000199,0.118,0.377,139.895,4
"6091",34.1428571428571,204974.714285714,0.694571428571429,0.557,8.57142857142857,-11.2591428571429,1,0.0848285714285714,0.472357142857143,0.367257142857143,0.2462,0.326242857142857,143.568571428571,3.85714285714286
"6091;Chai Lenin",39,156500,0.521,0.34,11,-15.534,0,0.0564,0.186,0.827,0.0866,0.141,160,4
"6091;Krameri",34,180000,0.709,0.286,5,-14.846,1,0.0453,0.964,0.128,0.43,0.256,103.952,3
"6091;Padmaja Sreenivasan",26,158316,0.443,0.55,1,-8.551,1,0.0877,0.93,5.58e-05,0.347,0.33,143.651,1
"6091;Rakhooo",40,172336,0.616333333333333,0.459333333333333,3,-11.809,1,0.034,0.762,0.380666666666667,0.171666666666667,0.352666666666667,123.359,4
"6091;Sayanora Philip",32,145548,0.446,0.442,8,-14.613,1,0.177,0.79,0.55,0.374,0.611,116.185,3
"6EJOU",25,338666,0.593,0.957,4,-3.521,0,0.156,0.0392,0.967,0.134,0.341,179.993,4
"6ix9ine",60.6,142585.7,0.7229,0.6908,5.5,-5.4123,0.7,0.20747,0.065238,0,0.16628,0.4532,119.9705,4
"6ix9ine;A Boogie Wit da Hoodie",62,128769,0.772,0.809,0,-3.994,0,0.154,0.0863,0,0.115,0.654,97.407,4
"6ix9ine;Akon",52,203333,0.649,0.779,7,-4.719,1,0.115,0.0332,0,0.299,0.503,89.978,4
"6ix9ine;Anuel AA",75,212186,0.6775,0.8635,2.5,-3.593,0.5,0.0757,0.4305,0,0.114,0.537,101.035,4
"6ix9ine;Bobby Shmurda",59,152000,0.733,0.63,11,-4.296,1,0.395,0.13,0,0.162,0.833,149.991,4
"6ix9ine;DJ SpinKing",62,154565,0.779,0.767,11,-5.462,0,0.258,0.00214,0,0.102,0.523,91.981,4
"6ix9ine;Fetty Wap;A Boogie Wit da Hoodie",60,151914,0.599,0.857,7,-5.7,1,0.299,0.0321,0,0.4,0.469,187.985,4
"6ix9ine;Leftside",48,137755,0.872,0.648,6,-5.008,0,0.338,0.112,0,0.0496,0.729,98.019,4
"6ix9ine;Lil Baby",55,135739,0.82,0.691,6,-6.646,0,0.0723,0.0113,0,0.344,0.683,142.028,4
"6ix9ine;Nicki Minaj",64,202666,0.744,0.422,1,-8.946,1,0.294,0.0319,0.00011,0.11,0.493,180.006,4
"6ix9ine;Nicki Minaj;Kanye West",60,192405,0.761,0.673,1,-5.887,1,0.215,0.0917,1.04e-05,0.14,0.438,160.077,3
"6ix9ine;Nicki Minaj;Murda Beatz",72,179404,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.375,125.978,4
"6ix9ine;Tory Lanez",65,136031,0.745,0.715,1,-3.368,0,0.246,0.128,0,0.182,0.342,94.511,4
"6o",46,121874,0.514,0.661,2,-5.485,0,0.246,0.45,0,0.171,0.483,80.605,4
"6t6",32,136770,0.905,0.469,4,-12.233,0,0.242,0.758,0,0.279,0.503,113.123,4
"6t6;Big Smoak",34.5,162751,0.6485,0.732,7.5,-10.652,0.5,0.3985,0.505,0,0.1223,0.837,102.385,4
"6t6;Marksman;Silk Boss;1Biggs Don;Big Smoak",33,194208,0.71,0.453,0,-14.977,1,0.861,0.594,0,0.265,0.632,176.48,4
"6t6;Skillibang;DJ Smoak",30,139258,0.868,0.411,5,-10.347,0,0.535,0.7,0,0.311,0.349,109.688,4
"6t6;T.O.K;Squash;Rygin King",34,169351,0.675,0.416,7,-15.682,1,0.835,0.0607,0,0.11,0.643,120.874,5
"7 Minutoz",43.5384615384615,221358.692307692,0.609153846153846,0.695461538461538,5.53846153846154,-7.469,0.230769230769231,0.110976923076923,0.412461538461538,0.000690214615384615,0.179661538461538,0.346953846153846,113.032461538462,3.92307692307692
"7 Minutoz;Dk 47",41,259959,0.826,0.776,1,-4.254,1,0.0645,0.318,0,0.259,0.703,111.998,4
"7 Minutoz;Sid;Rod 3030",44,292819,0.748,0.728,5,-6.18,0,0.156,0.382,0,0.198,0.635,100.049,4
"7!!",59,286086.5,0.423,0.7245,9,-3.7765,1,0.0897,0.08755,0,0.0899,0.486,167.699,4
"7evin7ins",56,108000,0.636,0.464,1,-8.333,0,0.337,0.127,0,0.106,0.523,179.947,4
"7Horse",51,221599,0.39,0.948,0,-3.408,1,0.159,0.144,0.00054,0.0993,0.457,79.627,4
"7ru7h",48,173893,0.661,0.666,4,-6.088,1,0.0509,0.0486,0,0.0821,0.539,166.944,4
"8 Graves",54,217010,0.533,0.824,5,-4.2,1,0.101,0.231,5.19e-06,0.269,0.39,155.075,4
"8 Kalacas",31.5,222443.5,0.346,0.9575,5,-3.901,1,0.08265,0.0165545,0.003965,0.1378,0.6115,144.823,4
"80purppp",69.2,115755.4,0.795,0.4164,4.4,-14.157,0.8,0.1744,0.825,0.133252,0.1554,0.537,115.6352,4
"831",63,239794,0.547,0.666,6,-5.694,1,0.0393,0.4,0,0.144,0.43,129.814,4
"88GLAM",63,180813,0.764,0.672,6,-4.274,0,0.0655,0.0166,1.06e-06,0.103,0.594,150.021,4
"89ine",45,215872,0.603,0.296,0,-16.694,0,0.0424,0.103,0.235,0.106,0.076,96.018,4
"8Kays;Diana Miro;Jerome Isma-Ae",50,236258,0.706,0.668,1,-6.157,1,0.0434,0.0162,0.87,0.167,0.133,123.992,4
"8percent",66,87408,0.795,0.385,7,-13.526,0,0.329,0.851,5.98e-05,0.234,0.55,109.996,4
"8th Sin;Mandragora",42,394782,0.713,0.649,2,-6.537,1,0.0642,0.0261,0.524,0.197,0.074,137.995,4
