"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"Mavado;Stefflon Don",45,212038,0.725,0.64,9,-4.6,0,0.212,0.393,0,0.101,0.398,102.884,4
"Mavi",15.6666666666667,224241,0.600666666666667,0.705,9,-8.72433333333333,1,0.0663666666666667,0.014,0.131166666666667,0.103866666666667,0.712,154.019666666667,4
"Mavi Gri",43,236210,0.603,0.564,7,-9.03,0,0.0471,0.0632,1.46e-05,0.0948,0.338,95.009,4
"Mavi Işıklar",32.4,172626.4,0.4444,0.5266,3,-10.0136,0.2,0.0304,0.627,0.55599798,0.2,0.6974,112.7268,3.8
"Mavi;Defa",44,169322,0.704,0.546,1,-7.206,1,0.0524,0.0581,0,0.0973,0.169,118.022,4
"Mavis Hee",49.8571428571429,278656.857142857,0.629428571428571,0.256,6.85714285714286,-14.3348571428571,1,0.0362285714285714,0.759428571428571,6.17142857142857e-07,0.134571428571429,0.156028571428571,113.631714285714,4
"MAW",41,170206,0.705,0.585333333333333,3.33333333333333,-7.784,0.333333333333333,0.0547333333333333,0.315666666666667,0.000708133333333333,0.137666666666667,0.263,146.516,3.66666666666667
"MAW;Myndless Grimes",41,224000,0.593,0.537,10,-9.112,0,0.0389,0.0662,0.00407,0.131,0.146,164.976,4
"MAX",26.7142857142857,264317.714285714,0.642571428571429,0.913571428571429,4.85714285714286,-4.53857142857143,0.285714285714286,0.0356142857142857,0.0266457142857143,0.00224894571428571,0.241385714285714,0.647428571428571,129.03,4
"Max Boyce",21.5,588666,0.4655,0.3675,3,-15.146,1,0.4505,0.817,0,0.906,0.443,104.769,3
"Max Brhon",43.625,218800.5,0.553875,0.8205,5.625,-5.63875,0.875,0.0617625,0.045662125,0.5793125,0.1460125,0.1364,108.402875,3.875
"Max Casella",26,48626,0.391,0.0316,5,-30.715,1,0.0444,0.911,1.28e-05,0.0607,0.446,130.32,4
